SUPPLIER_ERP,SUPPLIER_ADDRESS,SUPPLIER_CITY,SUPPLIER_STATE,SUPPLIER_ZIP_POSTAL_CDE,SUPPLIER_COUNTRY
ROBERTO CANALES,PAYMENTS 1700 STERLING ROAD ,CHARLOTTE,NC,28209,US
CT ASSOCIATION FOR THE PERFORMING ARTS,SHUBERT THEATER 247 COLLEGE STREET ,NEW HAVEN,CT,6510,US
LINDSEY (CAPECE) COOPER,DISPUTE RESOLUTIONS GROUP 325 SUB WAY ,MILFORD,CT,6461,US
"CAPGEMINI AMERICA, INC.",LOCKBOX # 27047 27047 NETWORK PLACE ,CHICAGO,IL,60673-1270,US
"CAPITAL CONVENTION CONTRACTORS,",10 TECHNOLOGY DRIVE SUITE 40 # 395 ,HUDSON,MA,1749,US
"CAPITAL CONVENTION CONTRACTORS, INC.",10 TECHNOLOGY DRIVE SUITE 40 # 395 ,HUDSON,MA,1749,US
STEPHANIE D CAPITO,MARKET INTEGRATION 9 CHETALOU DRIVE ,DRY RIDGE,KY,41035,US
CAPTIONHUB LTD,86-90 PAUL STREET  ,LONDON,,EC2A 4NE,UNITED KINGDOM
CARAT USA INC,PO BOX 28004  ,NEW YORK,NY,10087-8004,USA
SHANNON CARBALLO,TECHNOLOGY 60 RIDGE ROAD ,NAUGATUCK,CT,6770,UNITED STATES
"CARDINAL TRACKING, INC.",1825 LAKEWAY DRIVE SUITE 100 ,LEWISVILLE,TX,75057-6046,US
CARLOS SALHUANA,650 NW 98TH COURT  ,MIAMI,FL,33172,US
MARIO CAROZZI,CONSUMER INSIGHTS 11018 NE 8TH AVENUE ,BISCAYNE PARK,FL,33161,US
CAITLIN E. CARRIER,MARKET PLANNING 3130 ROCKY BROOK DRIVE ,ALPHARETTA,GA,30005,US
CARRIE A SOMERVILLE,227 MILL STREET  ,CAMPBELLSPORT,WI,53010,US
JAMES CARROLL,FRANCHISE PERFORMANCE 11906 S 88TH EAST AVENUE ,BIXBY,OK,74008,US
MARY ANN CARROLL,ACCOUNTING 121 WALKERS POINT DRIVE ,AUBURNDALE,FL,33823,US
CARTUS CORPORATION,CARTUS CORPORATION P.O. BOX 360287 ,PITTSBURGH,PA,15250-6287,US
TOM CARVIN,TECHNOLOGY 6 HOPKINS COURT ,BRANFORD,CT,6405,UNITED STATES
DENIO CASALS,TECHNOLOGY 14018 SW 149TH LANE ,MIAMI,FL,33186,US
CASH WA DISTRIBUTING CO OF FARGO LLC,4101 15TH AVE N  ,FARGO,ND,58104,USA
"CASHSTAR, INC.",BLACKHAWK NETWORK INC 6220 STONERIDGE MALL ROAD ,PLEASANTON,CA,94588,US
"CASHSTAR, INC.-BLACKHAWK NETWOR",BLACKHAWK NETWORK INC 6220 STONERIDGE MALL ROAD ,PLEASANTON,CA,94588,US
"CASHSTAR, INC.-BLACKHAWK NETWORK INC",BLACKHAWK NETWORK INC 6220 STONERIDGE MALL ROAD ,PLEASANTON,CA,94588,US
CASHSTAR INC,PO BOX 913248  ,DENVER,CO,80291-3248,USA
ENRIQUE CASTILLO,PRODUCT 2300 DIANA DRIVE ,HALLANDALE BEACH,FL,33009,US
DAVID CASWELL,PRODUCT DEVELOPMENT 224 BEARDSLEY ROAD ,SHELTON,CT,6484,US
CATAMORPHIC CO.,DBA LAUNCHDARKLY 1999 HARRISON STREET ,OAKLAND,CA,94612,US
CATERING BY CHRISTINE LLC,5069 MADISON AVENUE  ,TRUMBULL,CT,6611,US
LORI CAUDILL,FRANCHISE PERFORMANCE 606 HOOD DRIVE ,COPPELL,TX,75019,US
"CB IRRIGATION SYSTEMS, LLC",P.O. BOX 381  ,STRATFORD,CT,6615,US
CCH INCORPORATED,P.O. BOX 4307  ,CAROL STREAM,IL,60197-4307,US
"CDW DIRECT, LLC",P.O. BOX 75723  ,CHICAGO,IL,60675,US
"CELEBRITY TALENT INTERNATIONAL, LLC",3651 LINDELL ROAD D423-A ,LAS VEGAS,NV,89103,US
CELERGO LLC,750 ESTATE DRIVE SUITE 110 ,DEERFIELD,IL,60015,US
DOLORES CELLINI, 152 ARLINGTON STREET ,WEST HAVEN,CT,6516,UNITED STATES
"CEMA LANGUAGE SOLUTIONS, CORP.",8055 CORAL WAY  ,MIAMI,FL,33155,UNITED STATES
"CERIDIAN HCM, INC.",3311 EAST OLD SHAKOPEE ROAD  ,MINNEAPOLIS,MN,55425,US
LAURA CESTE,TECHNOLOGY 44 TANKWOOD ROAD ,WALLINGFORD,CT,6492,US
"CFGI HOLDINGS, LLC",1 LINCOLN STREET SUITE 1301 ,BOSTON,MA,2111,UNITED STATES
C.H. ROBINSON COMPANY INC,PO BOX 9121  ,MINNEAPOLIS,MN,55480-0912,USA
CHAD BARNETT,CHAD BARNETT 15475 N. GREENWAY HAYDEN LOOP ,SCOTTSDALE,AZ,85260,US
"CHALLENGER, GRAY & CHRISTMAS, INC.",P.O. BOX 324  ,WINNETKA,IL,60093,US
DON CHALUPKA,FRANCHISE PERFORMANCE 1914 BROOKFORD DRIVE ,LITTLE ROCK,AR,72211,UNITED STATES
CHANGE UP LLC,2056 BYERS ROAD  ,MIAMISBURG,OH,45342,US
CHANNEL 3 KIDS CAMP,DBA CHANNEL 3 KIDS CAMP 73 TIMES FARM ROAD ,ANDOVER,CT,6232,US
"CHARITYBUZZ, LLC",437 5TH AVENUE 11TH FLOOR ,NEW YORK,NY,10016,US
CHARLIE WHALLEY COACHING,9 BEVERLEY LODGE  ,PARADISE ROAD,RICHMOND,TW9 1LL,UNITED KINGDOM
"CHAVES BAKERY II, INC.",1365 STATE STREET  ,BRIDGEPORT,CT,6605,US
ARMANDO CHAVEZ,FSQA 460 LEWIS STREET ,KING CITY,CA,93930,US
CHEMSEARCH FE,CHEMSEARCH FE 23261 NETWORK PLACE ,CHICAGO,IL,60673-1232,US
CHENEY BROTHERS INC,ONE CHENEY WAY  ,RIVIERA BEACH,FL,33404,USA
RAJA CHENNAMSETTI,ENTERPRISE ARCHITECTURE 6 HARLOW COURT ,ROCKVILLE,CT,20850,US
NATHAN CHIANTELLA,SUBWAY MARKETING INTEGRATION DIRECTOR 22 WATERS AVENUE ,NASHVILLE,TN,37206,US
CHICAGO METALLIC BAKEWARE,CHICAGO METALLIC BAKEWARE 6637 RELIABLE PARKWAY ,CHICAGO,IL,60686,USA
JOHN CHIDSEY,CEO 6915 GRANADA BLVD ,CORAL GABLES,FL,33146,US
YAINA CHIMELIS,CREATIVE SERVICES 12246 SW 140TH STREET ,MIAMI,FL,33186,US
DANA R (CHOUIKI) CASEY,NON-TRADTIONAL 33 PUMPKIN DELIGHT ROAD ,MILFORD,CT,6460,UNITED STATES
LORRI CHRISTOU,COMMUNICATIONS & PUBLIC AFFAIRS 2708 COURTHOUSE OAKS ROAD ,VIENNA,VA,22181,US
CHUCK KALANDER-CHUCK'S CAR SERV,CHUCK'S CAR SERVICE 1531 BROADBRIDGE AVENUE ,STRATFORD,CT,6615,US
CHUCK KALANDER-CHUCK'S CAR SERVICE,CHUCK'S CAR SERVICE 1531 BROADBRIDGE AVENUE ,STRATFORD,CT,6615,US
"CIRCLE PUBLIC RELATIONS, LTD.",1009 GENEVA STREET  ,SHOREWOOD,IL,60404,US
CIRCLE PUBLIC RELATIONS LTD,1009 GENEVA ST  ,SHOREWOOD,IL,60404,USA
CISCO SYSTEMS CAPITAL CORPORATION,P.O. BOX 742927  ,LOS ANGELES,CA,90074-2927,US
"CISION US, INC.",P.O. BOX 417215  ,BOSTON,MA,02241-7215,US
CISION US INC,PO BOX 419484  ,BOSTON,MA,02241-9484,USA
"CITY YEAR, INC",440 KNOX ABBOTT DRIVE SUITE 430 ,CAYCE,SC,29033,UNITED STATES
CITYYZ,440 KNOX ABBOTT DRIVE SUITE 430 ,CAYCE,SC,29033,UNITED STATES
"CLARION EVENTS, INC.",ATTN: ACCOUNTING 110 S HARTFORD AVENUE ,TULSA,OK,74120,US
VICTORIA CLARK,MARKETING 299 IVY STREET ,WALLINGFORD,CT,6492,US
CLARK NATIONAL ACCOUNTS,2207 OLD PHILADELPHIA PIKE  ,LANCASTER,PA,17602,US
SPENCER CLARK,DATA & REPORTING  ,,,,UNITED STATES
MARLIN DTC LS TOPCO LP,500 ENTERPRISE DR 2ND FL ,ROCKY HILL,CT,6067,USA
CLEARWATER INDUSTRIES,415 BRIDGEPORT AVENUE  ,SHELTON,CT,6484,US
DAN CLINTON,DIGITAL PLATFORMS 4618 BENRIDGE LANE ,CHARLOTTE,NC,28226,UNITED STATES
CMS PAYMENTS INTELLIGENCE INC,55 ALLEN PLAZA SUITE 500 ,ATLANTA,GA,30308,US
COLORADO DEPARTMENT OF REVENUE,1375 SHERMAN ST  ,DENVER,CO,80261,USA
COCA-COLA BOTTLING CO. OF NORTH,P.O. BOX 419784  ,BOSTON,MA,02241-9784,US
COCA-COLA BOTTLING CO. OF NORTHERN NEW ENGLAND,P.O. BOX 419784  ,BOSTON,MA,02241-9784,US
COCA-COLA NORTH AMERICA,P.O. BOX 102703  ,ATLANTA,GA,30368-2703,UNITED STATES
BRIELLE COLLINS,MENU STRATEGY & INNOVATION 801 S MIAMI AVENUE ,MIAMI,FL,33130,US
"COLLINS LAW GROUP, LLP",MENU STRATEGY & INNOVATION 801 S MIAMI AVENUE ,MIAMI,FL,33130,US
COLLINS BROTHERS MOVING CORP,650 FIFTH AVENUE  ,LARCHMONT,NY,10538,UNITED STATES
COLUMBUS AIRPORT NORTH CASSADY HOTEL LLC,1375 N CASSADY AVE  ,COLUMBUS,OH,43219,USA
JOSEPH COMBS,OPERATIONS-MARKET INTEGRATION 102 BAYNARD STREET ,POOLER,GA,31322,US
COMCAST,P.O. BOX 37601  ,PHILADELPHIA,PA,19101-0601,US
"CITY OF COMMERCE CITY, CO",290 SUB WAY  ,MILFORD,CT,6461,US
"COMMERCIAL KITCHENS, INC",290 SUB WAY  ,MILFORD,CT,6461,US
COMMISSIONER OF REVENUE SERVICES,STATE OF CONNECTICUT P.O. BOX 5032 ,HARTFORD,CT,06102-5032,UNITED STATES
COMMONWEALTH LAND TITLE INSURANCE COMPANY,101 MERRITT BLVD SUITE 208 ,TRUMBULL,CT,6611,UNITED STATES
"COMMON SENSE ADVISORY, LLC",3 KENNEDY DRIVE # 901 ,NORTH CHELSFORD,MA,1863,UNITED STATES
COMMONWEALTH FINANCIAL NETWORK,29 SAWYER ROAD  ,WALTHAM,MA,2026,UNITED STATES
COMMUNITY FOUNDATION OF MIDDLE TENNESEE INC.,MAPCO GIVEBACK FUND P.O. BOX 440225 ,NASHVILLE,TN,37244,UNITED STATES
"COMMUNISPOND, INC.",300 SW 1ST AVENUE SUITE 155 ,FORT LAUDERDALE,FL,33301,UNITED STATES
"COMPASS GROUP USA, INC.",EUREST DINING SERVICES 2400 YORKMONT ROAD ,CHARLOTTE,NC,28217,US
COMPOST FOR LIFE LLC,725 14TH PLACE APARTMENT 7 ,MIAMI BEACH,FL,33139,UNITED STATES
CONCORD USA LLC,509 2ND AVENUE S  ,HOPKINS,MN,55343,US
CONCORD UNLIMITED,509 2ND AVENUE S  ,HOPKINS,MN,55343,US
CONCORDIA PARISH SALES TAX FUND,509 2ND AVENUE S  ,HOPKINS,MN,55343,US
CONCORD USA LLC,509 2ND AVE S  ,HOPKINS,MN,55343,USA
"CONNECTICUT HOSPITALITY EDUCATION FOUNDATION, INC.",270 FARMINGTON AVENUE SUITE 142 ,FARMINGTON,CT,6032,US
CONNECTICUT ZOOLOGICAL SOCEITY,CONNECTICUT'S BEARDSLEY ZOO 1875 NOBLE AVENUE ,BRIDGEPORT,CT,6610,US
"CONNECTICUT ZOOLOGICAL SOCEITY, INC.",CONNECTICUT'S BEARDSLEY ZOO 1875 NOBLE AVENUE ,BRIDGEPORT,CT,6610,US
CONNECTICUT BAR EXAMINING COMMITTE,100 WASHINGTON STREET 1ST FLOOR ,HARTFORD,CT,06106-4411,UNITED STATES
CONNECTICUT CODE CONSULTANTS,CONNECTICUT CODE CONSULTANTS 241 MAIN STREET ,WOODBURY,CT,06798-3440,US
CONTACTMONKEY INC.,200 ADELAIDE STREET W. SUITE 300 ,TORONTO,ON,M5H 1W7,CANADA
DOMINIC D. CONTESSA JR.,NEW BUSINESS DEVELOPMENT 43 AIRCRAFT ROAD ,WEST HAVEN,CT,6516,US
"CONTINENTAL MESSAGE SOLUTION, I",41 S. GRANT AVENUE  ,COLUMBUS,OH,43215,US
"CONTINENTAL MESSAGE SOLUTION, INC",41 S. GRANT AVENUE  ,COLUMBUS,OH,43215,US
ANDREW COOL,LEASING 1219 ROWLAND AVENUE ,CAMARILLO,CA,93010,US
COOPERATIVE FOR ASSISTANCE AND RELIEF EVERYWHERE INC.,151 ELLIS STREET NE  ,ATLANTA,GA,30303,US
COLORADO DEPARTMENT OF REVENUE,1375 SHERMAN AVENUE  ,DENVER,CO,80261-0004,CANADA
CORGUZ SIGNS INC,494 S MACY ST SPC 56 ,SAN BERNARDINO,CA,92410,USA
MARCUS LINCOLN HOTEL LLC,333 S 13TH ST  ,LINCOLN,NE,68508,USA
"CORPORATE SPORTS UNLIMITED, INC",6400 HIGHLANDS PARKWAY SE SUITE H ,SMYRNA,GA,30082,US
"COSTAR REALTY INFORMATION, INC.","COSTAR GROUP, INC. 1331 L STREET, NW ",WASHINGTON,DC,20005,UNITED STATES
COTALENT GROUP LIMITED,BROODER HOUSE NORTH FIFTH FARM ASHES LANE ,HADLOW,TONBRIDGE,TN11 9QU,US
ANTHONY COTTON,INFRASTRUCTURE 62 ACORN CIRCLE ,TOWSON,MD,21286,UNITED STATES
CREATIVE & RESPONSE RESEARCH SERVICES INC,150 N MICHIGAN AVE 34TH FL ,CHICAGO,IL,60601,USA
"CREATIVE CIRCLE, LLC",P.O. BOX 74008799  ,CHICAGO,IL,60674-8799,US
"CREATIVE & RESPONSE RESEARCH SERVICES, INC.",150 N.MICHIGAN AVENUE 34TH FLOOR ,CHICAGO,IL,60601,UNITED STATES
CRITICAL MENTION INC,DEPT 569 PO BOX 4458 ,HOUSTON,TX,77210-4458,USA
CHRISTOPHER CROTTA,TECHNOLOGY 53 HIGH POINT DRIVE ,NORTHFORD,CT,6472,UNITED STATES
RONNIE VANCE CROWDER,FRANCHISE PERFORMANCE 912 MAGNOLIA BLOSSOM COURT ,APOPKA,FL,32712,UNITED STATES
VANCE V CROWDER,FRANCHISE PERFORMANCE 912 MAGNOLIA BLOSSOM COURT ,APOPKA,FL,32712,UNITED STATES
CROWN CASTLE FIBER LLC,P.O. BOX 27135  ,NEW YORK,NY,10087-7135,US
CHARLES ROYCE ALSOP,3716 FAIRFAX AVENUE  ,DALLAS,TX,75209,US
JUAN CRUZ,TECHNOLOGY 3945 PARK AVENUE ,FAIRFIELD,CT,6825,US
CORPORATION SERVICE COMPANY,PO BOX 13397  ,PHILADELPHIA,PA,19101-3397,USA
CSC,PO BOX 13397  ,PHILADELPHIA,PA,19101-3397,USA
CORPORATION SERVICE COMPANY,251 LITTLE FALLS DRIVE  ,WILMINGTON,DE,19808,US
CSC-CORPORATION SERVICE COMPANY,251 LITTLE FALLS DRIVE  ,WILMINGTON,DE,19808,US
COMMISSIONER OF REVENUE SERVICES,"STATE OF CONNECTICUT 25 SIGOURNEY ST, PO BOX 5032 ",HARTFORD,CT,06102-5032,USA
CT FOOD BANK,CONNECTICUT FOOD BANK 2 RESEARCH PARKWAY ,WALLINGFORD,CT,6492,US
"CT FOOD BANK-CONNECTICUT FOODSHARE, INC.",CONNECTICUT FOOD BANK 2 RESEARCH PARKWAY ,WALLINGFORD,CT,6492,US
CONNECTICUT RESTAURANT ASSOCIATION CORP.,270 FARMINGTON AVENUE SUITE 142 ,FARMINGTON,CT,6032,US
CTS INC.(CERIDIAN HCM INC.),17390 BOOKHURST STREET  ,FOUNTAIN VALLEY,CA,92708,US
VALERIA CUBILLAS,BUSINESS INTELLIGENCE 8651 WATERSIDE COURT ,PARKLAND,FL,33076,US
ROBERT F CULLEENY,QUALITY & FOOD SAFETY 6 BUNKER HILL CIRCLE ,SHELTON,CT,6484,US
CURE CYSTIC FIBROSIS MIAMI FOUNDATION,13250 SW 74TH AVENUE  ,PINECREST,FL,33156,US
JASON VAN CURLER,FRANCHISE PERFORMANCE 790 NORCHESTER STREET ,SOUTH LYON,MI,48178,US
CURRENT GLOBAL,CURRENT GLOBAL 1840 CENTURY PARK EAST ,LOS ANGELES,CA,90067,US
CMGRP INC,CURRENT GLOBAL PO BOX 74008263 ,CHICAGO,IL,60674-8263,USA
IPG DXTRA INC,CURRENT GLOBAL PO BOX 74008263 ,CHICAGO,IL,60674-8263,USA
"CUSTOM BLINDS INTERNATIONAL, INC.",14300 BEDFORD COURT  ,DAVIE,FL,33325,US
"CVENT, INC",1765 GREENSBORO STATION PLACE 7TH FLOOR ,TYSONS CORNER,VA,22102,US
CYBERSOURCE CORPORATION,900 METRO CENTER BLVD.  ,FOSTER CITY,CA,94404,US
"CYBERNETIC SEARCH, INC. (JCW SEARCH INC)","CYBERNETIC SEARCH, INC. 1351 3RD STREET PROMENADE ",SANTA MONICA,CA,90401,UNITED STATES
"CYNTHIA D. LEE ENTERPRISES, INC.",9961 HAMBURG ROAD  ,BRIGHTON,MI,48116,US
DALB INC,73 INDUSTRIAL BLVD  ,KEARNEYSVILLE,WV,25430,USA
AMY DALEY,FRANCHISE PERFORMANCE 210 ROGERS ROAD ,NORWICH,CT,6360,US
DALLAS CONVENTION CENTER HOTEL,555 S. LAMAR  ,DALLAS,TX,75202,US
DALLAS CONVENTION CENTER HOTEL DEVELOPMENT CORPORATION,555 S. LAMAR  ,DALLAS,TX,75202,US
STEPHEN D'AMICO,NETWORK 571 WHITNEY AVENUE ,TRUMBULL,CT,6611,US
DAMYON L CLAAR-PRESSLEY,2080 CARTHAGE ROAD  ,TUCKER,GA,30084,US
ROB D'ANDREA,FINANCE 37 SOUTH POND CIRCLE ,CHESHIRE,CT,6410,UNITED STATES
ROBERT D'ANDREA,FINANCE 37 SOUTH POND CIRCLE ,CHESHIRE,CT,6410,UNITED STATES
SUZANNE DANON CUSNIR,TECHNOLOGY 300 S BISCAYNE BLVD ,MIAMI,FL,33131,UNITED STATES
CITY OF DANVILLE,FINANCE DEPARTMENT ATTN: BUSINESS LICENSING ,DANVILLE,KY,40423,UNITED STATES
DARA SECURITY,10580 N.MCCARRAN BLVD. # 115-337 ,RENO,NV,89503,US
DARIA FUTEY HOLIAN,27 JEFFRO DRIVE  ,RIDGEFIELD,CT,6877,US
JARED DARK,TECHNOLOGY 4632 TANGO LANE W ,JACKSONVILLE,FL,32210,UNITED STATES
TRUSTEES OF DARTMOUTH COLLEGE,7 LEBANON STREET SUITE 302 ,HANOVER,NH,3755,UNITED STATES
TAPASIA DARYANANI,RESTAURANT TECHNOLOGY 11222 LAZIO LANE ,CHARLOTTE,NC,28277,US
DATA DRIVEN SOLUTIONS LLC,1368 NE 104 STREET  ,MIAMI SHORES,FL,33138,US
DAVID M FERGUSON,1563 SCREAMER DRIVE UNIT 101 ,CLAYTON,GA,30525,US
"DAVIS, POLK & WARDWELL LLP",450 LEXINGTON AVENUE  ,NEW YORK,NY,10017,US
ALEXANDREA DAVIS,PRODUCT INSIGHTS 31 SE 5TH STREET ,MIAMI,FL,33131,US
"D. BAZILLE PAINTING, LLC",2216 GENERAL CLEBURNE AVENUE  ,BATON ROUGE,LA,70810,US
DISTRICT OF COLUMBIA OFFICE OF TAX AND REVENUE,"OFFICE OF TAX AND REVENUE 1101 4TH ST SW, STE W270 ",WASHINGTON,DC,20024,USA
"DDA ENGINEERS, P.A.",4930 S.W. 74TH COURT  ,MIAMI,FL,33155,US
(CHARLES) AARON DEAL,CULINARY INNOVATION 55SE 6TH STREET ,MIAMI,FL,33131,US
MICHAEL DEANGELIS,COMMUNICATIONS 1000 KNAPPS HIGHWAY ,FAIRFIELD,CT,6825,US
DEBRA L KLOTZER,115 PLEASANT DRIVE  ,HAMDEN,CT,6515,US
ROBERT W. DEBROOKE,MARKET OPERATIONS 537 LOVETT ROAD ,SAN BENITO,TX,78586,US
"DEEPSEAS, LLC",12121 SCRIPPS SUMMIT DRIVE SUITE 320 ,SAN DIEGO,CA,92131,UNITED STATES
CRISTIN DEFRANCESCO,ACCOUNTING 60 JESSWIG DRIVE ,HAMDEN,CT,6517,US
KAYLA DEILY,MARKET INTEGRATION 3017 EAST BLVD ,BETHLEHEM,PA,18017,US
KARIN DELAURI,TECHNOLOGY 35 HOBSON AVENUE ,MILFORD,CT,6460,US
DELINEA INC.,221 MAIN STREET SUITE 1300 ,SAN FRANCISCO,CA,94105,UNITED STATES
DEL MAR SOUTHPORT,DEL MAR SOUTHPORT 275 OLD POST ROAD ,SOUTHPORT,CT,6890,US
DELOITTE TAX LLP,P.O. BOX 844736  ,DALLAS,TX,75284-4736,US
DELOITTE & TOUCHE LLP,695 EAST MAIN STREET  ,STAMFORD,CT,06901-2150,US
DELOITTE FINANCIAL ADVISORY SERVICES LLP,P.O. BOX 844742  ,DALLAS,TX,75284-4742,US
DELOITTE HASKINS AND SELLS LLP,"CHARTERED ACCOUNTANTS TOWER-B, 7TH FLOOR, BULIDING NO. 10 ",GURGAON,,122002,INDIA
JOSE F DEL VALLE,TECHNOLOGY-MIAMI 350 S. MIAMI AVENUE ,MIAMI,FL,33130,US
RICHARD DEMING,TECHNOLOGY-POS DEVELOPMENT 15800 BULL RUN ROAD ,MIAMI LAKES,FL,33014,US
ANDREW J DEMPSEY,FRANCHISE PERFORMANCE 2000 SOUTH ENGLISH STATION ROAD ,LOUISVILLE,KY,40299,US
DENALI NORDIC SKI CLUB INC,PO BOX 754  ,TALKEETNA,AK,99676,USA
DENALI VISITOR CENTER,PO BOX 437  ,HEALY,AK,99743,USA
DENISE BRANNAM,P.O. BOX 3939  ,LONGVIEW,TX,75606,US
RACHARD DENNIS,OPERATIONS 6005 DEER TRACE WAY ,GEORGETOWN,IN,47122-0100,US
CCMH DENVER TECH LLC,4900 S SYRACUSE ST  ,DENVER,CO,80237,USA
DEPARTMENT OF PUBLIC SAFETY,DEPARTMENT OF ADMINSTRATIVE SERVICES-OSBI BUREAU OF ELEVATORS ,HARTFORD,CT,6103,UNITED STATES
DELAWARE DIVISION  OF REVENUE,P.O. BOX 8751  ,WILMINGTON,DE,19899-8751,UNITED STATES
"DELAWARE, DIVISION OF REVENUE",P.O. BOX 8751  ,WILMINGTON,DE,19899-8751,UNITED STATES
HETVI DESAI,TECHNOLOGY 35 TANBARK TRAIL ,UNIONVILLE,CT,6085,US
"DEVICE42, INC.",100 FULTON STREET UNIT 3A ,BOSTON,MA,2109,US
SHANE DEVLIN,FRANCHISE PERFORMANCE  ,,,,UNITED STATES
SUNITA DHUNGANA,TECHNOLOGY 192 OLD TAVERN ROAD ,ORANGE,CT,6477,US
DIABETES RESEARCH INSTITUTE FOUNDATION INC,200 SOUTH PARK ROAD  ,HOLLYWOOD,FL,33021-8592,UNITED STATES
DIAL BROADCASTING INC,FROGGY 95.9 FM 213 WEST MAIN STREET ,VEVAY,IN,47043,US
DIANA SCHOOLEY,8479 DEXTER WOOD ROAD  ,PITTSVILLE,WI,54466,US
ALLISON DIAZ,ACCOUNTING 62 TEMPLETON STREET ,WEST HAVEN,CT,6516,US
SHANNON DIAZ,TAX 415 DAYTON ROAD ,TRUMBULL,CT,6611,US
DICARLO DISTRIBUTORS INC,1630 N OCEAN AVE  ,HOLTSVILLE,NY,11742,USA
"DICE CAREER SOLUTIONS, INC",12150 MEREDITH DRIVE  ,URBANDALE,IA,50323,US
"DICKLYNCH, LLC",30501 FOREST DRIVE  ,BURLINGTON,WI,53105,US
GREG C DIETZEN,FRANCHISE PERFORMANCE 6108 GRACEMONT LANE ,BRONSWICK,GA,31525,US
"DIGITAL INSURANCE, LLC",200 GALLERIA PARKWAY SUITE 1950 ,ATLANTA,GA,30339,US
"DIGITAL EVOLUTION GROUP, LLC",6601 COLLEGE BLVD. 6TH FLOOR ,OVERLAND PARK,KS,66211,US
CLINT DILLARD,FRANCHISE PERFORMANCE 19226 BRINDLED BAY COURT ,TOMBALL,TX,77377,US
MICHELE DINELLO,CORPORATE COMMUNICATIONS 1347 DURHAM ROAD ,WALLINGFORD,CT,6492,US
"THE DINNER DETECTIVE-D.R. ENTERTAINMENT, LLC",THE DINNER DETECTIVE 2335-115 E COLORADO BLVD ,PASADENA,CA,91107,US
FAY DIPIETRO,FIELD DEVELOPMENT 30 SILVER SANDS ROAD ,EAST HAVEN,CT,6512,UNITED STATES
THI DIPLOMAT HOTEL LESSEE LLC,3555 SOUTH OCEAN DRIVE  ,HOLLYWOOD,FL,33019,US
THE DIPLOMAT BEACH RESORT-HOLLY,THE DIPLOMAT BEACH RESORT 55 MERCHANT STREET ,HONOLULU,HI,96813,UNITED STATES
THE DIPLOMAT BEACH RESORT-HOLLYWOOD FL OWNER LLC,THE DIPLOMAT BEACH RESORT 55 MERCHANT STREET ,HONOLULU,HI,96813,UNITED STATES
DIRECT ENERGY BUSINESS,P.O. BOX 70220  ,PHILADELPHIA,PA,70220,UNITED STATES
DISABLED AMERICAN VETERANS,P.O. BOX 3006  ,MILFORD,CT,6461,US
ROCCO DISAVINO,TECHNOLOGY 356 WAKELEE AVENUE ,ANSONIA,CT,6401,US
DISCOUNT DRAIN SERVICES,DISCOUNT DRAIN SERVICES P.O. BOX 373 ,SHELTON,CT,6484,US
"DISCOVER YOURSELF, INC.",684 EXCELSIOR BLVD. SUITE 100 ,EXCELSIOR,MN,55331,US
DOCTOR'S ASSOCIATES LLC,325 SUB WAY  ,MILFORD,CT,6461,US
"DOCUSIGN, INC.",1301 2ND AVENUE SUITE 2000 ,SEATTLE,WA,98101,US
"OMAR DOMINGUEZ, JR",TECHNOLOGY 16122 SW 63 TERRACE ,MIAMI,FL,33193,US
HEATHER DOMINGUEZ,FRANCHISE PERFORMANCE  ,,,,UNITED STATES
DONNA DIDYK,45 SUN UP ROAD  ,STORMVILLE,NY,12582,US
DONNA CURRY,3031 W HORIZON RIDGE PKWY SUITE 100 ,HENDERSON,NV,89052,US
"DONNELLEY FINANCIAL, LLC",DONNELLEY FINANCIAL SOLUTIONS 35 W. WACKER DRIVE ,CHICAGO,IL,60601,US
DOORDASH INC,303 2ND ST SOUTH TOWER 800 ,SAN FRANCISCO,CA,94107,USA
"DOT FOODS, INC.",BOX 192  ,MT. STERLING,IL,62353,US
DOUBLETREE RESORT BY HILTON-HOL,DOUBLETREE RESORT BY HILTON-HOLLYWOOD BEACH 4000 S OCEAN DRIVE ,HOLLYWOOD,FL,33019,UNITED STATES
DOUBLETREE RESORT BY HILTON-HOLLYWOOD BEACH,DOUBLETREE RESORT BY HILTON-HOLLYWOOD BEACH 4000 S OCEAN DRIVE ,HOLLYWOOD,FL,33019,UNITED STATES
BF SAUL REAL ESTATE INVESTMENT TRUST,1960 CHAIN BRIDGE RD  ,MCLEAN,VA,22102,USA
MICHAEL DOUGLAS,INFORMATION SYSTEMS 130 MILLER STREET ,NEW BRITAIN,CT,6053,UNITED STATES
"DOWEVENTS INTERNATIONAL, INC",187 PARFITT WAY SW SUITE 218 ,BAINBRIDGE ISLAND,WA,98110,US
CAITLIN DRIGGERS,STRATEGY & PLANNING 2379 NW 195 AVENUE ,PEMBROKE PINES,FL,33029,UNITED STATES
DRIVER MEDIA INC,115 W 27TH ST 12TH FL ,NEW YORK,NY,10001,USA
CHRIS D'SOUZA,FIELD PERFORMANCE MANAGEMENT 8520 SPRUCE STREET ,NEW ORLEANS,LA,70118,US
MICHAEL DUCHARME,FRANCHISE PERFORMANCE 422 ARTHUR DRIVE ,CLINTON,WI,53525,US
DUKE MANUFACTURING CO INC,P.O. BOX 503574  ,ST. LOUIS,MO,63150-3574,US
